Movie ID,Number of Movies,Average Budget,Average Domestic Gross,Average Worldwide Gross
Gareth Edwards,1,200.0,533.539991,1055.083596
Francis Lawrence,1,160.0,281.723902,648.986787
"Eric Leighton, Ralph Zondag",1,127.5,137.748063,356.148063
"Eric Darnell, Tom McGrath, Conrad Vernon",1,145.0,216.391482,746.921271
Chris Weitz,1,50.0,296.623634,687.557727
Edward Zwick,1,140.0,111.110575,456.810575
"Dean DeBlois, Chris Sanders",1,165.0,217.581232,494.870992
David Slade,1,68.0,300.531751,706.102828
David Silverman,1,72.5,183.135014,527.071022
Jay Roach,1,35.0,206.040085,312.383487
Jerry Zucker,1,22.0,217.631306,517.599988
Matt Reeves,1,170.0,208.545589,710.644566
Carlos Saldanha,1,75.0,195.330621,651.899282
Martin Campbell,1,102.0,167.365,594.420283
"Mark Osborne, John Stevenson",1,130.0,215.434591,631.910531
Brett Ratner,1,210.0,234.362462,459.260946
Luc Besson,1,95.0,63.570862,263.89282
Brian Levant,1,45.0,130.531208,358.5
"Byron Howard, Rich Moore, Jared Bush",1,150.0,341.268248,1004.629935
Lee Unkrich,1,200.0,415.00488,1068.879522
Lee Tamahori,1,142.0,160.942139,431.942139
"Kyle Balda, Pierre Coffin",1,74.0,336.04577,1157.271759
Cameron Crowe,1,50.0,153.952592,273.552592
Kevin Costner,1,19.0,184.208842,424.208805
Justin Lin,1,125.0,210.031325,630.163454
Jon Watts,1,175.0,334.20114,878.271291
"Chris Buck, Jennifer Lee",1,150.0,400.953009,1261.629241
Alan J. Pakula,1,45.0,100.768056,187.995859
John Madden,1,26.0,100.317794,279.5
"John Lasseter, Joe Ranft",1,70.0,244.082982,461.630558
"John Lasseter, Bradford Lewis",1,200.0,191.450875,560.155383
"John Lasseter, Ash Brannon, Lee Unkrich",1,90.0,245.852179,511.358276
John Lasseter,1,30.0,192.523233,365.270951
John Landis,1,27.0,57.22989,57.245093
John Huston,1,65.0,85.911262,139.829625
John Guillermin,1,207.0,218.080025,550.517357
"Carlos Saldanha, Michael Thurmeier",1,90.0,196.573705,886.686817
John G. Avildsen,1,40.0,176.591618,351.774938
Joel Schumacher,1,100.0,184.031112,336.529144
Adrian Lyne,1,7.0,90.463574,201.463574
