Movie ID,Title,Director
143,Lethal Weapon 4,Richard Donner
144,The Lost World: Jurassic Park,Steven Spielberg
145,Tomorrow Never Dies,Roger Spottiswoode
146,Air Force One,Wolfgang Petersen
147,The Fifth Element,Luc Besson
148,The Full Monty,Peter Cattaneo
149,Independence Day,Roland Emmerich
150,Twister,Jan de Bont
151,Mission: Impossible,Brad Bird
152,The Rock,Michael Bay
153,The Hunchback of Notre Dame,"Gary Trousdale, Kirk Wise"
154,The Nutty Professor,Tom Shadyac
155,Jerry Maguire,Cameron Crowe
156,Eraser,Chuck Russell
157,Toy Story,John Lasseter
158,Apollo 13,Ron Howard
159,Pocahontas,"Mike Gabriel, Eric Goldberg"
160,Batman Forever,Joel Schumacher
161,Casper,Brad Silberling
162,Waterworld,Kevin Reynolds
163,Jumanji,Joe Johnston
164,The Lion King,"Roger Allers, Rob Minkoff"
165,The Lion King,"Roger Allers, Rob Minkoff"
166,True Lies,James Cameron
167,The Mask,Chuck Russell
168,Speed,Jan de Bont
169,The Flintstones,Brian Levant
170,Four Weddings and a Funeral,Mike Newell
171,Clear and Present Danger,Phillip Noyce
172,Jurassic Park,Steven Spielberg
173,Mrs. Doubtfire,Chris Columbus
174,The Fugitive,Andrew Davis
175,The Firm,Sydney Pollack
176,Cliffhanger,Renny Harlin
177,The Pelican Brief,Alan J. Pakula
178,Aladdin,"Ron Clements, John Musker"
179,Aladdin,"Ron Clements, John Musker"
180,The Bodyguard,Mick Jackson
181,Home Alone 2: Lost in New York,Chris Columbus
182,Lethal Weapon 3,Richard Donner
183,Robin Hood: Prince of Thieves,Kevin Reynolds
184,Beauty and the Beast,"Gary Trousdale, Kirk Wise"
185,Beauty and the Beast,"Gary Trousdale, Kirk Wise"
186,Hook,Steven Spielberg
187,JFK,Oliver Stone
188,Ghost,Jerry Zucker
189,Dances with Wolves,Kevin Costner
190,Total Recall,Paul Verhoeven
191,Total Recall,Paul Verhoeven
192,Back to the Future Part III,Robert Zemeckis
193,Teenage Mutant Ninja Turtles,Jonathan Liebesman
194,Teenage Mutant Ninja Turtles,Jonathan Liebesman
195,Kindergarten Cop,Ivan Reitman
196,Back to the Future Part II,Robert Zemeckis
197,Born on the Fourth of July,Oliver Stone
198,Big,Penny Marshall
199,Cocktail,Roger Donaldson
200,Beverly Hills Cop II,Tony Scott
201,The Untouchables,Brian De Palma
202,Lethal Weapon,Richard Donner
203,Top Gun,Tony Scott
204,Star Trek IV: The Voyage Home,Leonard Nimoy
205,Aliens,James Cameron
206,The Golden Child,Michael Ritchie
207,Back to the Future,Robert Zemeckis
208,Rambo: First Blood Part II,George P. Cosmatos
209,Witness,Peter Weir
210,Indiana Jones and the Temple of Doom,Steven Spielberg
211,The Karate Kid,John G. Avildsen
212,The Karate Kid,John G. Avildsen
213,Footloose,Herbert Ross
214,Footloose,Herbert Ross
215,Star Trek III: The Search for Spock,Leonard Nimoy
216,Flashdance,Adrian Lyne
217,Octopussy,John Glen
218,E.T. the Extra-Terrestrial,Steven Spielberg
219,Star Trek II: The Wrath of Khan,Nicholas Meyer
220,Annie,John Huston
221,Superman II,"Richard Lester, Richard Donner"
222,Chariots of Fire,Hugh Hudson
223,For Your Eyes Only,John Glen
224,Time Bandits,Terry Gilliam
225,The Blue Lagoon,Randal Kleiser
226,The Blues Brothers,John Landis
227,Star Trek: The Motion Picture,Robert Wise
228,Moonraker,Lewis Gilbert
229,The Muppet Movie,James Frawley
230,Superman,Richard Donner
231,Heaven Can Wait,"Warren Beatty, Buck Henry"
232,A Bridge Too Far,Richard Attenborough
233,The Spy Who Loved Me,Lewis Gilbert
234,Annie Hall,Woody Allen
235,The Omen,Richard Donner
236,The Omen,Richard Donner
237,King Kong,Peter Jackson
238,King Kong,Peter Jackson
239,King Kong,Peter Jackson
240,Midway,Roland Emmerich
241,The Return of the Pink Panther,Blake Edwards
